target,iteration,particle_id,hidden_units,alpha,learning_rate_init,fitness
Initial Setting Time (IST),0,0,20,0.0020731719263694525,0.019404250827669656,27.54285716195742
Initial Setting Time (IST),0,1,19,0.00019166024706981723,0.029069229955640496,33.286973864506514
Initial Setting Time (IST),0,2,20,0.02281355236625612,0.0015565764265126965,23.048358277729765
Initial Setting Time (IST),0,3,14,0.0012953707094821836,0.024555426586822138,28.261531703352947
Initial Setting Time (IST),0,4,18,0.029395769940595316,0.004625101822337392,22.02686177297394
Initial Setting Time (IST),0,5,10,0.0046105672499844215,0.0012465964452993302,34.52611981274671
Initial Setting Time (IST),1,0,19,0.01375318688950332,0.01191040356535212,23.976409896134033
Initial Setting Time (IST),1,1,18,0.005197459180602602,0.002926359967808422,22.14002070818491
Initial Setting Time (IST),1,2,17,0.02569073223328262,0.00606174159260042,23.051466028179608
Initial Setting Time (IST),1,3,18,0.007951729676808962,0.011928321759098534,24.57082151972464
Initial Setting Time (IST),1,4,18,0.029395769940595316,0.004625101822337392,22.02686177297394
Initial Setting Time (IST),1,5,10,0.04105928007992026,0.004608614982169494,22.077969374756282
Initial Setting Time (IST),2,0,17,0.05587565418813043,0.008181211744459932,23.863940529294993
Initial Setting Time (IST),2,1,17,0.08074910475153738,0.001162629613297121,29.849378847971305
Initial Setting Time (IST),2,2,18,0.0297216067306731,0.003305188035676811,22.09758026247329
Initial Setting Time (IST),2,3,20,0.1,0.006100773976206475,22.327925661096216
Initial Setting Time (IST),2,4,18,0.029395769940595316,0.004625101822337392,22.02686177297394
Initial Setting Time (IST),2,5,15,0.1,0.010126112240190705,23.467794636469197
Initial Setting Time (IST),3,0,15,0.05430743888506447,0.00442192275683513,22.163705722943075
Initial Setting Time (IST),3,1,17,0.07616100393611465,0.005308069782954128,22.73894715160385
Initial Setting Time (IST),3,2,19,0.03198145918851168,0.0033665573033923343,21.669067433117615
Initial Setting Time (IST),3,3,19,0.1,0.003144159904867859,21.986087480782864
Initial Setting Time (IST),3,4,18,0.029395769940595316,0.004625101822337392,22.02686177297394
Initial Setting Time (IST),3,5,14,0.1,0.006588474144329332,22.024309230879393
Initial Setting Time (IST),4,0,17,0.043186731673976575,0.0026692429568505862,22.343862346842332
Initial Setting Time (IST),4,1,19,0.020894985787840475,0.005693202804965547,22.506848224039064
Initial Setting Time (IST),4,2,19,0.03341903229363492,0.0034039244678205276,21.682889428380243
Initial Setting Time (IST),4,3,18,0.1,0.0022631115732158476,22.291350278563794
Initial Setting Time (IST),4,4,18,0.03195217540734778,0.003271176533031579,22.093995363915358
Initial Setting Time (IST),4,5,19,0.08634014226706127,0.0020236161246999294,22.261578531674004
Initial Setting Time (IST),5,0,20,0.0254918491476064,0.0035954951289351887,22.357955774201496
Initial Setting Time (IST),5,1,19,0.0027860745858186127,0.0015730375829823347,23.00016911668366
Initial Setting Time (IST),5,2,19,0.03202219587996463,0.003368171934027596,21.67273525009616
Initial Setting Time (IST),5,3,18,0.024194706644750433,0.0034030579458637746,22.08592735632647
Initial Setting Time (IST),5,4,18,0.033441524603546935,0.0033534569797867733,22.092064646818795
Initial Setting Time (IST),5,5,15,0.03939790636280745,0.007314686880413513,22.504618845495308
Initial Setting Time (IST),6,0,20,0.027555508353922623,0.004993490342551511,22.26145318416121
Initial Setting Time (IST),6,1,17,0.003997870664329422,0.001451893961429999,25.638007230166554
Initial Setting Time (IST),6,2,19,0.0311417173245292,0.003345894201052262,21.683345879266447
Initial Setting Time (IST),6,3,20,0.013523700593482587,0.0040566475470834576,22.308521432274688
Initial Setting Time (IST),6,4,18,0.030497406539078523,0.0037511464752291034,22.118782942296118
Initial Setting Time (IST),6,5,14,0.049414792589313285,0.0070370592852671675,22.20521914823469
Final Setting Time (FST),0,0,20,0.0020731719263694525,0.019404250827669656,48.135713654021565
Final Setting Time (FST),0,1,19,0.00019166024706981723,0.029069229955640496,50.24755538006969
Final Setting Time (FST),0,2,20,0.02281355236625612,0.0015565764265126965,70.72476257694409
Final Setting Time (FST),0,3,14,0.0012953707094821836,0.024555426586822138,50.444142736850026
Final Setting Time (FST),0,4,18,0.029395769940595316,0.004625101822337392,44.00502006609377
Final Setting Time (FST),0,5,10,0.0046105672499844215,0.0012465964452993302,97.01622061870545
Final Setting Time (FST),1,0,19,0.01375318688950332,0.01191040356535212,49.479651896560476
Final Setting Time (FST),1,1,18,0.005197459180602602,0.002926359967808422,44.734348319405
Final Setting Time (FST),1,2,17,0.02569073223328262,0.00606174159260042,45.23969513512565
Final Setting Time (FST),1,3,18,0.007951729676808962,0.011928321759098534,46.37988770347531
Final Setting Time (FST),1,4,18,0.029395769940595316,0.004625101822337392,44.00502006609377
Final Setting Time (FST),1,5,10,0.04105928007992026,0.004608614982169494,44.7557809046039
Final Setting Time (FST),2,0,17,0.006093339688819717,0.01144807525878243,49.03627820211267
Final Setting Time (FST),2,1,17,0.08074910475153738,0.001162629613297121,90.0706726310527
Final Setting Time (FST),2,2,16,0.03232388234608032,0.010466274825287496,45.556149538453205
Final Setting Time (FST),2,3,20,0.1,0.006100773976206475,44.763631594368924
Final Setting Time (FST),2,4,18,0.029395769940595316,0.004625101822337392,44.00502006609377
Final Setting Time (FST),2,5,15,0.1,0.010126112240190705,45.09065784007481
Final Setting Time (FST),3,0,17,0.010208864592927493,0.008564121446009754,45.625637685682584
Final Setting Time (FST),3,1,17,0.07616100393611465,0.005308069782954128,44.55859169175659
Final Setting Time (FST),3,2,17,0.03186170765774184,0.005206984265506793,44.63696397557645
Final Setting Time (FST),3,3,19,0.1,0.003144159904867859,42.98827934023641
Final Setting Time (FST),3,4,18,0.029395769940595316,0.004625101822337392,44.00502006609377
Final Setting Time (FST),3,5,14,0.1,0.006588474144329332,43.80994069051749
Final Setting Time (FST),4,0,18,0.03469916563906197,0.004371350468237367,43.67988494845947
Final Setting Time (FST),4,1,18,0.08797372125877735,0.012979586342076873,46.59673332877184
Final Setting Time (FST),4,2,19,0.1,0.0030801633091302964,43.21834751306651
Final Setting Time (FST),4,3,18,0.1,0.002112401362973162,57.943327882787116
Final Setting Time (FST),4,4,18,0.0986784587279842,0.0030362440053209217,44.590700435907586
Final Setting Time (FST),4,5,19,0.1,0.0018422364869866638,60.49366913973923
Final Setting Time (FST),5,0,20,0.1,0.0022594035310422506,52.905143183704425
Final Setting Time (FST),5,1,19,0.09298714717758876,0.0018379211738923061,60.16744742205256
Final Setting Time (FST),5,2,21,0.1,0.0023002257705573787,46.83675316436694
Final Setting Time (FST),5,3,18,0.1,0.0033581091249542086,42.88576008012311
Final Setting Time (FST),5,4,18,0.1,0.00312929848103068,43.36488180374941
Final Setting Time (FST),5,5,15,0.1,0.0072327262747550886,44.47557974794472
Final Setting Time (FST),6,0,20,0.1,0.005697760156977977,44.81302821605314
Final Setting Time (FST),6,1,16,0.08550774272907065,0.0011123227833164248,88.76783848471972
Final Setting Time (FST),6,2,19,0.1,0.002406394700893076,47.40533343808221
Final Setting Time (FST),6,3,19,0.1,0.004434920349048413,44.45272524846511
Final Setting Time (FST),6,4,18,0.1,0.003234184815830222,42.62292293689677
Final Setting Time (FST),6,5,14,0.1,0.007461998652452388,44.14168974195734
